index,state,year,name,county,enroll,mmr,xmed,lat,lng
58,Montana,2017-18,"University Congregation Children""S Center",Missoula,53,100,0,46.7596456,-114.2523362
59,Montana,2017-18,Valier Prek-8,Pondera,78,100,0,45.4476528,-105.4051159
60,Montana,2017-18,Woodman School Prek-8,Missoula,35,100,0,46.4477219,-108.5453857
61,Montana,2017-18,West Elementary,Silver Bow,480,99.79,0.625,46.005496,-112.551959
62,Montana,2017-18,Riverview,Cascade,464,99.78,0,47.523939,-111.314737
63,Montana,2017-18,Alkali Creek,Yellowstone,335,99.7,0,45.811405,-108.505718
64,Montana,2017-18,Poplar Schools Prek-12,Roosevelt,930,99.68,0,45.595,-106.2714032
65,Montana,2017-18,Park City Schools Prek-12,Stillwater,305,99.67,0,45.7058105,-109.5482735
66,Montana,2017-18,Longfellow,Cascade,285,99.65,0,47.498209,-111.288606
67,Montana,2017-18,Rocky Boy Schools Prek-12,Hill,569,99.65,0,48.5400412,-109.6760928
68,Montana,2017-18,Southside,Roosevelt,280,99.64,0,48.087595,-105.644211
69,Montana,2017-18,Hardin Primary,Big Horn,277,99.64,0,45.730897,-107.611486
70,Montana,2017-18,Heck/Quaw Elementary,Gallatin,452,99.56,0,45.779472,-111.173186
71,Montana,2017-18,Loy,Cascade,406,99.51,0,47.510951,-111.214286
