index,state,year,name,type,city,county,enroll,mmr,xmed,xper,xrel,lat,lng
525,Utah,2017-18,John Hancock Charter,Public,Pleasant Grove,Utah,174,91.95,0,8.05,0,40.3658501,-111.7393878
526,Utah,2017-18,Sunset Elementary-St.George,Public,St. George,Washington,506,91.9,0.4,7.71,0,37.1166802,-113.6154985
527,Utah,2017-18,Castle Valley Center-Special,Public,Price,Carbon,37,91.89,0,8.11,0,39.612422,-110.794195
528,Utah,2017-18,Bloomington Hills Elementary,Public,St. George,Washington,541,91.87,0.18,7.76,0,37.0549168,-113.564583
529,Utah,2017-18,Maeser Elementary-Vernal,Public,Vernal,Uintah,589,91.85,0,7.81,0,40.4714606,-109.5796989
530,Utah,2017-18,Trailside Elementary,Public,Park City,Summit,491,91.85,0,8.15,0,40.7152774,-111.5030418
531,Utah,2017-18,American Academy Of Innovation,Public,South Jordan,Salt Lake,61,91.8,0,8.2,0,40.5565069,-112.0203103
532,Utah,2017-18,Draper Elementary,Public,Draper,Salt Lake,742,91.78,0,8.22,0,40.5207704,-111.8610351
533,Utah,2017-18,Valley Elementary-Huntsville,Public,Huntsville,Weber,595,91.76,0,7.73,0,41.2607744,-111.7699379
534,Utah,2017-18,Ashley Valley Education Center- Alternative Ed,Public,Vernal,Uintah,24,91.67,0,8.33,0,40.45205,-109.529408
535,Utah,2017-18,Vineyard Elementary,Public,Orem,Utah,1202,91.6,0,0.33,0,40.2892293,-111.7375781
536,Utah,2017-18,La Verkin Elementary,Public,La Verkin,Washington,486,91.56,0.21,8.02,0,37.20083,-113.2708883
537,Utah,2017-18,Parowan Elementary,Public,Parowan,Iron,378,91.53,0.26,7.94,0,37.8446969,-112.8307729
538,Utah,2017-18,Bear River Charter,Public,Logan,Cache,106,91.51,0.94,7.55,0,41.730277,-111.8457538
539,Utah,2017-18,Castle Dale Elementary,Public,Castle Dale,Emery,186,91.4,0,8.06,0,39.2204295,-111.0161827
540,Utah,2017-18,American Heritage School Of South Jordan,Private,South Jordan,Salt Lake,127,91.34,0,8.66,0,40.5498626,-111.9392309
541,Utah,2017-18,American Preparatory Academy-Draper #1,Public,Draper,Salt Lake,612,91.34,0,8.5,0.16,40.516567,-111.8947273
542,Utah,2017-18,Legacy Elementary,Public,American Fork,Utah,710,91.13,0.28,8.59,0,40.4026001,-111.7973095
543,Utah,2017-18,Manti Elementary,Public,Manti,Sanpete,431,90.95,0,8.58,0,39.2644968,-111.6398166
544,Utah,2017-18,Tabiona Elementary,Public,Tabiona,Duchesne,76,90.79,0,9.21,0,40.3532926,-110.707238
545,Utah,2017-18,Monticello Elementary,Public,Monticello,San Juan,260,90.77,0,8.85,0.38,37.8756241,-109.3477872
546,Utah,2017-18,Minersville Elementary,Public,Minersville,Beaver,97,90.72,0,9.28,0,38.2084155,-112.9266987
547,Utah,2017-18,Renaissance Academy,Public,Lehi,Utah,665,90.68,0,9.02,0,40.430437,-111.832545
548,Utah,2017-18,Myton Elementary,Public,Myton,Duchesne,139,90.65,0,5.76,0,40.1945817,-110.0557794
549,Utah,2017-18,Thomas Edison Charter School- South,Public,Logan,Cache,570,90.53,0,9.47,0,41.690018,-111.86411
550,Utah,2017-18,The Ranches Academy,Public,Eagle Mountain,Utah,364,90.38,0.27,9.34,0,40.3592003,-111.9852254
551,Utah,2017-18,Forbes Elementary,Public,American Fork,Utah,496,90.32,0.2,9.48,0,40.3824474,-111.7940869
552,Utah,2017-18,Barratt Elementary,Public,American Fork,Utah,521,90.21,0,9.79,0,40.3805823,-111.7722723
553,Utah,2017-18,Mcpolin Elementary,Public,Park City,Summit,406,90.15,0,9.36,0,40.6695909,-111.4927987
554,Utah,2017-18,Horizon Elementary - Washington,Public,Washington,Washington,71,90.14,1.41,8.45,0,37.1042376,-113.4902715
555,Utah,2017-18,Escalante Elementary,Public,Escalante,Garfield,10,90,0,10,0,37.7706616,-111.5941232
556,Utah,2017-18,Springdale Elementary,Public,Springdale,Washington,50,90,2,6,0,37.1892057,-112.9992675
557,Utah,2017-18,Duchesne Elementary,Public,Duchesne,Duchesne,462,89.83,0,9.96,0,40.166852,-110.4030924
558,Utah,2017-18,Lincoln Academy,Public,Pleasant Grove,Utah,530,89.81,0.19,9.81,0,40.4002436,-111.7634957
559,Utah,2017-18,Neola Elementary,Public,Neola,Duchesne,185,89.73,0,9.73,0,40.4283371,-110.0332582
560,Utah,2017-18,Bloomington Elementary,Public,St. George,Washington,77,89.61,0,10.39,0,37.0515688,-113.5928449
561,Utah,2017-18,North Star Academy,Public,Bluffdale,Salt Lake,360,89.17,0,10.83,0,40.4974902,-111.9615304
562,Utah,2017-18,Timpanogos Academy,Public,Lindon,Utah,472,88.35,0,11.65,0,40.3368909,-111.7129647
563,Utah,2017-18,Kauri Sue Hamilton,Public,Riverton,Salt Lake,200,87.5,0.5,12,0,40.507126,-111.960075
564,Utah,2017-18,Mt. Pleasant Elementary,Public,Mt. Pleasant,Sanpete,446,87.44,0,12.11,0,39.538628,-111.4468678
565,Utah,2017-18,Vista At Entrada School Of Performing Arts And Tec,Public,Ivins,Washington,590,87.29,0,12.54,0,37.169069,-113.666372
566,Utah,2017-18,Diamond Valley Elementary,Public,St. George,Washington,39,87.18,0,12.82,0,37.2492548,-113.6141409
567,Utah,2017-18,Park Valley,Public,Park Valley,Box Elder,23,86.96,0,13.04,0,41.8214218,-113.3303278
568,Utah,2017-18,Fairview Elementary,Public,Fairview,Sanpete,291,86.94,0,13.06,0,39.631484,-111.425973
569,Utah,2017-18,Terra Academy,Public,Vernal,Uintah,346,86.71,0,13.01,0,40.4522769,-109.565248
570,Utah,2017-18,Challenger School-Holladay,Private,Salt Lake City,Salt Lake,30,86.67,0,10,0,40.6724395,-111.8242345
571,Utah,2017-18,Garrison Elementary,Public,Garrison,Millard,15,86.67,0,0,0,38.9352265,-114.0355433
572,Utah,2017-18,Weilenmann School Of Discovery,Public,Park City,Summit,405,86.67,0.25,12.84,0,40.75227,-111.592546
573,Utah,2017-18,American Preparatory Academy-Salem-Charter,Public,Salem,Utah,364,86.54,0,13.46,0,40.0364749,-111.6912937
574,Utah,2017-18,Lakeview Academy,Public,Saratoga Springs,Utah,104,86.54,0,13.46,0,40.3685109,-111.9280285
