index,state,year,name,city,county,district,enrollment,overall,xmed,xrel,lat,lng
317,Idaho,2018-19,Compass Charter,Meridian,Ada,Charter,93,81.72043011,1.075268817,12.90322581,43.6183981,-116.4248219
318,Idaho,2018-19,Lena Whitmore Elementary,Moscow,Latah,Moscow,38,81.57894737,2.631578947,2.631578947,46.733289,-116.9851789
319,Idaho,2018-19,North Idaho Stem Charter Academy,Rathdrum,Kootenai,Charter,48,81.25,0,18.75,47.8141738,-116.8765394
320,Idaho,2018-19,Syringa Mountain Charter,Hailey,Blaine,Charter,16,81.25,0,6.25,43.4867161,-114.2754595
321,Idaho,2018-19,Maple Grove Elementary,Boise,Ada,Boise,69,81.15942029,0,2.898550725,43.5776776,-116.293149
322,Idaho,2018-19,Willow Creek Elementary School - Nampa,Nampa,Canyon,Nampa,74,81.08108108,0,4.054054054,43.585772,-116.600442
323,Idaho,2018-19,Harrison Elementary School - Twin Falls,Twin Falls,Twin Falls,Twin Falls,68,80.88235294,0,5.882352941,42.5725609,-114.4696346
324,Idaho,2018-19,John Brown Elementary,Rathdrum,Kootenai,Lakeland,52,80.76923077,0,5.769230769,47.8146846,-116.888891
325,Idaho,2018-19,American Heritage Charter,Idaho Falls,Bonneville,Charter,46,80.43478261,0,2.173913043,43.482044,-112.1033294
326,Idaho,2018-19,Centennial Elementary School-Nampa,Nampa,Canyon,Nampa,66,80.3030303,0,6.060606061,43.5636786,-116.5826762
327,Idaho,2018-19,Calvary Christian Academy,Emmett,Gem,Private,10,80,0,20,43.893864,-116.507075
328,Idaho,2018-19,Leadore,Leadore,Lemhi,South Lemhi,5,80,0,20,44.677875,-113.3607783
329,Idaho,2018-19,Sweet Montour Elementary,Sweet,Gem,Emmett,5,80,0,20,43.961556,-116.3301311
330,Idaho,2018-19,Driggs Elementary,Driggs,Teton,Teton,79,79.74683544,0,12.65822785,43.7302201,-111.1104226
331,Idaho,2018-19,I.T. Stoddard Elementary,Blackfoot,Bingham,Blackfoot,49,79.59183673,2.040816327,2.040816327,43.1800827,-112.3449204
332,Idaho,2018-19,A.W. Johnson Elementary,Firth,Bingham,Firth,63,79.36507937,1.587301587,3.174603175,43.3022782,-112.1774832
333,Idaho,2018-19,Gooding Elementary,Gooding,Gooding,Gooding,92,79.34782609,0,4.347826087,42.9376674,-114.7260364
334,Idaho,2018-19,Bryan Elementary,Coeur D'alene,Kootenai,Coeur d'Alene,72,79.16666667,0,16.66666667,47.685903,-116.774416
335,Idaho,2018-19,Gem Prep Meridian,Meridian,Ada,Charter,48,79.16666667,0,6.25,43.5898839,-116.3599459
336,Idaho,2018-19,Twin Lakes Elementary,Rathdrum,Kootenai,Lakeland,48,79.16666667,0,10.41666667,47.8583144,-116.8587075
