index,state,year,name,type,city,county,enroll,mmr,overal,xmed,xper,xrel,lat,lng
3504,New York,2017-18,Calvary Christian,Private,Port Jervis,Orange,,50,50,0,,50,41.3750937,-74.692663
3505,New York,2017-18,Cleary School For The Deaf,Private,Nesconset,Suffolk,,50,50,50,,0,40.833146,-73.138193
3506,New York,2017-18,Townline,Private,Penn Yan,Yates,,50,46.4,0,,46.43,42.6981721,-77.0157947
3507,New York,2017-18,Mckinley Cross Road,Private,Fonda,Montgomery,,48.4,0,0,,54.84,42.9526036,-74.3729065
3508,New York,2017-18,Imrei Shufer,Private,Nanuet,Rockland,,47.9,32.3,0,,0,41.1016538,-74.0696279
3509,New York,2017-18,Wood Corner,Private,Penn Yan,Yates,,47.4,42.1,0,,52.63,42.58996151,-77.02584174
3510,New York,2017-18,The Skill Building Center,Private,Spring Valley,Rockland,,46.6,26,0,,10.96,41.126352,-74.055981
3511,New York,2017-18,Lone Moose,Private,Fort Covington,Franklin,,44.8,27.6,0,,48.28,44.9394852,-74.4365513
3512,New York,2017-18,Hawthorne Valley,Private,Ghent,Columbia,,44,40.3,1.23,,51.44,42.270503,-73.593243
3513,New York,2017-18,Creekside,Private,Penn Yan,Yates,,43.5,43.5,0,,52.17,42.55900814,-77.05744992
3514,New York,2017-18,Lake Country,Private,Canandaigua,Ontario,,43.5,34.8,0,,56.52,42.8834632,-77.2103646
3515,New York,2017-18,Yeshiva Ohr Torah,Private,Monsey,Rockland,,43.4,28.7,1.4,,1.4,41.14609,-74.068871
3516,New York,2017-18,Duane Lake Academy,Private,Pawling,Dutchess,,42.9,28.6,71.43,,0,41.56096,-73.595591
3517,New York,2017-18,Green Meadow Waldorf,Private,Chestnut Ridge,Rockland,,42.3,37,0.33,,56.67,41.081565,-74.062084
3518,New York,2017-18,Open Meadows,Private,Mayville,Chautauqua,,41.4,24.1,0,,6.9,42.2559327,-79.5048192
3519,New York,2017-18,Lakeview,Private,Mayville,Chautauqua,,41.3,21.7,0,,10.87,42.2579048,-79.5145368
3520,New York,2017-18,Shady Willow,Private,Penn Yan,Yates,,40.9,36.4,0,,59.09,42.6914675,-76.9745114
3521,New York,2017-18,Redemption Christian Academy,Private,Troy,Rensselaer,,40,40,0,,60,42.737744,-73.680683
3522,New York,2017-18,Owasco Lake Mennonite,Private,Auburn,Cayuga,,39.3,0,0,,10.71,42.8472953,-76.5740236
3523,New York,2017-18,St Therese's Academy,Private,Nicholville,Franklin,,38.9,38.9,0,,61.11,44.7040515,-74.6562986
3524,New York,2017-18,Victory Christian Academy,Private,Cortland,Cortland,,38.9,38.9,0,,61.11,42.5471969,-76.2520257
3525,New York,2017-18,Aurora Waldorf,Private,West Falls,Erie,,37.7,37.7,0.82,,50,42.7084,-78.674261
3526,New York,2017-18,Meadow View,Private,Canandaigua,Ontario,,36.7,26.7,0,,60,42.8834632,-77.2103646
