index,state,year,name,type,city,enroll,mmr,lat,lng
419,Pennsylvania,2017,Thomas Wharton Elementary,,Lancaster,57,100,40.0482809,-76.3157854
420,Pennsylvania,2017,Tidioute Community Cs,,Tidioute,22,100,41.6837758,-79.4021281
421,Pennsylvania,2017,Trinity North Elementary,,Washington,70,100,40.2012184,-80.2970406
422,Pennsylvania,2017,Turner Elementary,,Wilkinsburg,54,100,40.4494734,-79.8647484
423,Pennsylvania,2017,Tussey Mountain El,,Saxton,69,100,40.2138059,-78.2499148
424,Pennsylvania,2017,United Elementary,,Armagh,66,100,40.4691644,-79.0423496
425,Pennsylvania,2017,Urban Pathways K-5 College Charter,,Pittsburgh,64,100,40.4441141,-79.9973013
426,Pennsylvania,2017,Valley School Of Ligonier,,Ligonier,20,100,40.246316,-79.2432556
427,Pennsylvania,2017,Valley View Elementary,,York,127,100,39.9481548,-76.6953447
428,Pennsylvania,2017,Victory Elementary,,Harrisville,43,100,41.2132063,-79.9409695
429,Pennsylvania,2017,Visitation Bvm,,Norristown,44,100,40.1455172,-75.3855757
430,Pennsylvania,2017,W W Evans Memorial Elementary,,Bloomsburg,26,100,40.991672,-76.47929
431,Pennsylvania,2017,Walker Township Elementary,,Mifflintown,23,100,40.5370824,-77.3331429
432,Pennsylvania,2017,Wallace Elementary,,York,216,100,39.9790413,-76.7891023
433,Pennsylvania,2017,Wallenpaupack South Elementary,,Newfoundland,40,100,41.308904,-75.320337
434,Pennsylvania,2017,Ward L Myers Elementary,,Muncy,77,100,41.2005174,-76.782302
435,Pennsylvania,2017,Warren Snyder-John Girotti Elementary,,Bristol,92,100,40.0989443,-74.8572572
436,Pennsylvania,2017,Washington Elementary,,Hanover,45,100,39.8168024,-76.9714691
437,Pennsylvania,2017,Washington Heights Elementary,,Lemoyne,76,100,40.2469958,-76.8999346
438,Pennsylvania,2017,Wasson Avenue Elementary,,DuBois,76,100,41.1061889,-78.7748934
439,Pennsylvania,2017,Waverly,,Waverly,60,100,41.5256245,-75.7098912
440,Pennsylvania,2017,Wayne Elementary,,Wayne,75,100,40.0328426,-75.4049725
441,Pennsylvania,2017,Webster,,Philadelphia,137,100,39.9963311,-75.1050962
442,Pennsylvania,2017,Weisenberg Elementary,,Kutztown,54,100,40.5906133,-75.7098184
443,Pennsylvania,2017,West End Elementary,,Punxsutawney,46,100,40.9464715,-78.990246
444,Pennsylvania,2017,West Hanover Elementary,,Harrisburg,70,100,40.3379892,-76.7218376
445,Pennsylvania,2017,West Hazleton El/Ms,,West Hazleton,100,100,40.9605091,-76.0003794
446,Pennsylvania,2017,West View Elementary,,Pittsburgh,74,100,40.5211372,-80.0327282
447,Pennsylvania,2017,West Vincent Elementary,,Chester Springs,56,100,40.111171,-75.689123
448,Pennsylvania,2017,Westbrook Park Elementary,,Clifton Heights,65,100,39.9297585,-75.307738
449,Pennsylvania,2017,Western Salisbury Elementary,,Allentown,39,100,40.5606163,-75.5010231
450,Pennsylvania,2017,Wharton,,Farmington,33,100,39.803882,-79.567961
451,Pennsylvania,2017,Whitfield Elementary,,West Lawn,86,100,40.3329178,-76.0053855
452,Pennsylvania,2017,William Penn Elementary,,Bethel Park,42,100,40.298812,-80.043859
453,Pennsylvania,2017,William Prescott #38,,Scranton,42,100,41.4087011,-75.6430108
454,Pennsylvania,2017,Williams Township Elementary,,Easton,46,100,40.639244,-75.2374789
455,Pennsylvania,2017,Williamsburg Community Elementary,,Williamsburg,34,100,40.4597782,-78.2066684
456,Pennsylvania,2017,Wilson Borough Elementary,,Easton,71,100,40.6850707,-75.2432512
457,Pennsylvania,2017,Wilson Elementary,,Waymart,33,100,41.5742208,-75.4063167
458,Pennsylvania,2017,Windber Elementary,,Windber,106,100,40.2169616,-78.8106555
459,Pennsylvania,2017,Windsor Manor Elementary,,Windsor,76,100,39.9225897,-76.5885687
460,Pennsylvania,2017,Wissahickon Cs,,Philadelphia,107,100,40.0160292,-75.171174
